\2025-05-02 11:13:26,863 - root - WARNING - -----------------------NEW SESSION-----------------------
2025-05-02 12:23:26,667 - root - INFO - Loaded extension: cogs.events.errors
2025-05-02 12:23:26,669 - root - INFO - Loaded extension: cogs.commands.moderation
2025-05-02 12:23:26,671 - root - INFO - Loaded extension: cogs.commands.fun
2025-05-02 12:23:26,672 - root - INFO - ----------------------------
2025-05-02 12:25:30,343 - root - WARNING - -----------------------NEW SESSION-----------------------
2025-05-02 12:25:30,345 - discord.client - INFO - logging in using static token
2025-05-02 12:25:31,491 - discord.gateway - INFO - Shard ID None has connected to Gateway (Session ID: e3f5ea63606c92bfb6d3b0226bfd91fb).
2025-05-02 12:25:33,504 - root - INFO - Logged as Proker
2025-05-02 12:25:33,504 - root - INFO - -----LOADING EXTENSIONS-----
2025-05-02 12:25:33,507 - root - INFO - Loaded extension: cogs.commands.roblox
2025-05-02 12:25:33,509 - root - INFO - Loaded extension: cogs.commands.main_commands
2025-05-02 12:25:33,510 - root - INFO - Loaded extension: cogs.events.errors
2025-05-02 12:25:33,514 - root - INFO - Loaded extension: cogs.commands.moderation
2025-05-02 12:25:33,517 - root - INFO - Loaded extension: cogs.commands.fun
2025-05-02 12:25:33,517 - root - INFO - ----------------------------
2025-05-02 12:27:23,644 - root - WARNING - -----------------------NEW SESSION-----------------------
2025-05-02 12:27:23,647 - discord.client - INFO - logging in using static token
2025-05-02 12:27:24,746 - discord.gateway - INFO - Shard ID None has connected to Gateway (Session ID: 4c305146f53f78aec50cea332a50432b).
2025-05-02 12:27:26,754 - root - INFO - Logged as Proker
2025-05-02 12:27:26,755 - root - INFO - -----LOADING EXTENSIONS-----
2025-05-02 12:27:26,758 - root - INFO - Loaded extension: cogs.commands.roblox
2025-05-02 12:27:26,760 - root - INFO - Loaded extension: cogs.commands.main_commands
2025-05-02 12:27:26,761 - root - INFO - Loaded extension: cogs.events.errors
2025-05-02 12:27:26,767 - root - INFO - Loaded extension: cogs.commands.moderation
2025-05-02 12:27:26,768 - root - INFO - Loaded extension: cogs.commands.fun
2025-05-02 12:27:26,769 - root - INFO - ----------------------------
2025-05-02 12:27:46,390 - root - WARNING - -----------------------NEW SESSION-----------------------
2025-05-02 12:27:46,393 - discord.client - INFO - logging in using static token
2025-05-02 12:27:47,358 - discord.gateway - INFO - Shard ID None has connected to Gateway (Session ID: 1e3f60389f42d111fbf9ce32eb08a941).
2025-05-02 12:27:49,368 - root - INFO - Logged as Proker
2025-05-02 12:27:49,369 - root - INFO - -----LOADING EXTENSIONS-----
2025-05-02 12:27:49,371 - root - INFO - Loaded extension: cogs.commands.roblox
2025-05-02 12:27:49,373 - root - INFO - Loaded extension: cogs.commands.main_commands
2025-05-02 12:27:49,375 - root - INFO - Loaded extension: cogs.events.errors
2025-05-02 12:27:49,380 - root - INFO - Loaded extension: cogs.commands.moderation
2025-05-02 12:27:49,382 - root - INFO - Loaded extension: cogs.commands.fun
2025-05-02 12:27:49,382 - root - INFO - ----------------------------
2025-05-02 12:28:31,602 - root - WARNING - -----------------------NEW SESSION-----------------------
2025-05-02 12:28:31,604 - discord.client - INFO - logging in using static token
2025-05-02 12:28:32,625 - discord.gateway - INFO - Shard ID None has connected to Gateway (Session ID: 6f9b71efda9390e4cedb25c23adb8cfb).
2025-05-02 12:28:34,641 - root - INFO - Logged as Proker
2025-05-02 12:28:34,641 - root - INFO - -----LOADING EXTENSIONS-----
2025-05-02 12:28:34,644 - root - INFO - Loaded extension: cogs.commands.roblox
2025-05-02 12:28:34,646 - root - INFO - Loaded extension: cogs.commands.main_commands
2025-05-02 12:28:34,648 - root - INFO - Loaded extension: cogs.events.errors
2025-05-02 12:28:34,652 - root - INFO - Loaded extension: cogs.commands.moderation
2025-05-02 12:28:34,654 - root - INFO - Loaded extension: cogs.commands.fun
2025-05-02 12:28:34,654 - root - INFO - ----------------------------
2025-05-02 12:28:51,073 - root - WARNING - -----------------------NEW SESSION-----------------------
2025-05-02 12:28:51,075 - discord.client - INFO - logging in using static token
2025-05-02 12:28:52,014 - discord.gateway - INFO - Shard ID None has connected to Gateway (Session ID: 3a656a66e6f987e8a25762813e632304).
2025-05-02 12:28:54,041 - root - INFO - Logged as Proker
2025-05-02 12:28:54,042 - root - INFO - -----LOADING EXTENSIONS-----
2025-05-02 12:28:54,045 - root - INFO - Loaded extension: cogs.commands.roblox
2025-05-02 12:28:54,047 - root - INFO - Loaded extension: cogs.commands.main_commands
2025-05-02 12:28:54,048 - root - INFO - Loaded extension: cogs.events.errors
2025-05-02 12:28:54,052 - root - INFO - Loaded extension: cogs.commands.moderation
2025-05-02 12:28:54,054 - root - INFO - Loaded extension: cogs.commands.fun
2025-05-02 12:28:54,054 - root - INFO - ----------------------------
2025-05-02 12:30:04,725 - root - WARNING - -----------------------NEW SESSION-----------------------
2025-05-02 12:30:04,727 - discord.client - INFO - logging in using static token
2025-05-02 12:30:05,970 - discord.gateway - INFO - Shard ID None has connected to Gateway (Session ID: a48b8d560c5a14055c7168aa5d9851e3).
2025-05-02 12:30:07,977 - root - INFO - Logged as Proker
2025-05-02 12:30:07,978 - root - INFO - -----LOADING EXTENSIONS-----
2025-05-02 12:30:07,980 - root - INFO - Loaded extension: cogs.commands.roblox
2025-05-02 12:30:07,982 - root - INFO - Loaded extension: cogs.commands.main_commands
2025-05-02 12:30:07,984 - root - INFO - Loaded extension: cogs.events.errors
2025-05-02 12:30:07,989 - root - INFO - Loaded extension: cogs.commands.moderation
2025-05-02 12:30:07,990 - root - INFO - Loaded extension: cogs.commands.fun
2025-05-02 12:30:07,991 - root - INFO - ----------------------------
2025-05-02 12:32:45,227 - root - WARNING - -----------------------NEW SESSION-----------------------
2025-05-02 12:32:45,228 - discord.client - INFO - logging in using static token
2025-05-02 12:32:46,321 - discord.gateway - INFO - Shard ID None has connected to Gateway (Session ID: aa26c620fa4ebdb9f8919f962660d0d5).
2025-05-02 12:32:48,344 - root - INFO - Logged as Proker
2025-05-02 12:32:48,344 - root - INFO - -----LOADING EXTENSIONS-----
2025-05-02 12:32:48,346 - root - INFO - Loaded extension: cogs.commands.roblox
2025-05-02 12:32:48,349 - root - INFO - Loaded extension: cogs.commands.main_commands
